date,A,B,C,D,E
2024-01-16,589.373,176.0,256.0,91.0,606.0
2024-01-17,623.7139999999999,159.0,226.0,77.0,588.0
2024-01-18,522.8530000000001,171.0,242.0,96.0,580.0
2024-01-19,615.1170000000001,164.0,203.0,77.0,519.0
2024-01-20,714.533,104.0,159.0,76.0,343.0
2024-01-21,652.544,78.0,158.0,77.0,317.0
2024-01-22,658.022,157.0,225.0,73.0,614.0
2024-01-23,650.107,179.0,223.0,81.0,603.0
2024-01-24,652.711,198.0,217.0,64.0,563.0
2024-01-25,647.4870000000001,181.0,267.0,69.0,597.0
2024-01-26,642.148,182.0,245.0,92.0,575.0
2024-01-27,580.1510000000001,110.0,159.0,77.0,356.0
2024-01-28,557.114,81.0,152.0,78.0,292.0
2024-01-29,572.2370000000001,206.0,250.0,85.0,592.0
2024-01-30,552.069,183.0,250.0,83.0,640.0
2024-01-31,556.556,207.0,258.0,85.0,589.0
2024-02-01,498.596,180.0,245.0,86.0,596.0
2024-02-02,591.653,175.0,237.0,77.0,610.0
2024-02-03,699.835,112.0,220.0,70.0,393.0
2024-02-04,571.234,98.0,134.0,73.0,331.0
2024-02-05,567.454,206.0,275.0,84.0,627.0
2024-02-06,639.829,203.0,259.0,78.0,658.0
2024-02-07,612.535,197.0,216.0,90.0,640.0
2024-02-08,555.0690000000001,173.0,245.0,88.0,605.0
2024-02-09,651.96,190.0,253.0,90.0,612.0
2024-02-10,555.055,129.0,180.0,77.0,371.0
2024-02-11,709.635,77.0,151.0,59.0,283.0
2024-02-12,636.1949999999999,195.0,252.0,69.0,609.0
2024-02-13,600.45,206.0,246.0,85.0,687.0
2024-02-14,631.029,204.0,239.0,108.0,634.0
2024-02-15,625.331,173.0,228.0,89.0,637.0
2024-02-16,652.268,203.0,245.0,93.0,614.0
2024-02-17,798.289,146.0,179.0,50.0,404.0
2024-02-18,681.12,98.0,141.0,79.0,360.0
2024-02-19,670.113,177.0,268.0,86.0,611.0
2024-02-20,610.151,215.0,232.0,100.0,631.0
2024-02-21,569.6899999999999,209.0,265.0,73.0,664.0
2024-02-22,721.656,206.0,253.0,98.0,693.0
2024-02-23,562.55,125.0,181.0,53.0,380.0
2024-02-24,465.666,101.0,170.0,79.0,332.0
2024-02-25,487.391,101.0,138.0,61.0,308.0
2024-02-26,485.315,206.0,275.0,87.0,637.0
2024-02-27,579.314,213.0,273.0,80.0,628.0
2024-02-28,686.5840000000001,206.0,250.0,88.0,668.0
2024-02-29,605.009,220.0,253.0,93.0,629.0
2024-03-01,666.242,225.0,261.0,82.0,641.0
2024-03-02,759.954,120.0,167.0,77.0,416.0
2024-03-03,592.779,115.0,137.0,69.0,349.0
2024-03-04,518.3199999999999,209.0,287.0,93.0,674.0
2024-03-05,641.23,196.0,290.0,91.0,667.0
2024-03-06,615.7,201.0,303.0,97.0,665.0
2024-03-07,608.6560000000001,206.0,262.0,97.0,640.0
2024-03-08,642.209,107.0,185.0,86.0,337.0
2024-03-09,499.208,75.0,169.0,63.0,302.0
2024-03-10,548.399,113.0,179.0,94.0,340.0
2024-03-11,487.773,182.0,266.0,85.0,653.0
2024-03-12,550.183,201.0,269.0,79.0,649.0
2024-03-13,558.2950000000001,197.0,256.0,72.0,625.0
2024-03-14,568.4879999999999,214.0,260.0,73.0,659.0
2024-03-15,629.1329999999999,194.0,271.0,92.0,612.0
2024-03-16,697.225,111.0,205.0,60.0,435.0
2024-03-17,635.321,116.0,171.0,75.0,401.0
2024-03-18,558.0849999999999,197.0,274.0,96.0,612.0
2024-03-19,766.942,219.0,273.0,92.0,613.0
2024-03-20,700.627,221.0,296.0,108.0,639.0
2024-03-21,713.576,206.0,246.0,109.0,653.0
2024-03-22,652.617,217.0,302.0,105.0,658.0
2024-03-23,732.466,128.0,197.0,59.0,399.0
2024-03-24,755.477,119.0,150.0,95.0,352.0
2024-03-25,648.2539999999999,185.0,275.0,103.0,697.0
2024-03-26,675.652,198.0,273.0,105.0,654.0
2024-03-27,656.317,221.0,249.0,90.0,647.0
2024-03-28,655.421,212.0,261.0,79.0,633.0
2024-03-29,787.677,191.0,293.0,108.0,665.0
2024-03-30,828.201,145.0,224.0,77.0,372.0
2024-03-31,727.599,125.0,167.0,77.0,384.0
2024-04-01,683.003,219.0,309.0,99.0,670.0
2024-04-02,668.789,212.0,322.0,90.0,669.0
2024-04-03,712.544,242.0,285.0,103.0,668.0
2024-04-04,740.251,245.0,287.0,118.0,714.0
2024-04-05,713.826,218.0,283.0,115.0,673.0
2024-04-06,646.781,138.0,218.0,99.0,446.0
2024-04-07,703.213,130.0,167.0,75.0,367.0
2024-04-08,645.115,240.0,294.0,93.0,672.0
2024-04-09,770.337,257.0,326.0,91.0,666.0
2024-04-10,727.907,247.0,306.0,91.0,637.0
2024-04-11,662.608,233.0,312.0,110.0,683.0
2024-04-12,683.67,281.0,297.0,103.0,682.0
2024-04-13,775.0219999999999,152.0,248.0,87.0,498.0
2024-04-14,778.263,119.0,163.0,80.0,332.0
2024-04-15,651.861,216.0,268.0,105.0,697.0
2024-04-16,648.4159999999999,226.0,322.0,98.0,690.0
2024-04-17,632.7090000000001,253.0,257.0,87.0,663.0
2024-04-18,796.569,252.0,291.0,99.0,727.0
2024-04-19,876.625,235.0,308.0,100.0,709.0
2024-04-20,741.922,191.0,247.0,81.0,419.0
2024-04-21,699.244,122.0,175.0,71.0,372.0
2024-04-22,687.8779999999999,242.0,298.0,83.0,713.0
2024-04-23,763.423,247.0,297.0,89.0,699.0
2024-04-24,755.451,270.0,340.0,108.0,720.0
2024-04-25,686.18,246.0,332.0,93.0,687.0
2024-04-26,684.017,233.0,292.0,123.0,699.0
2024-04-27,784.855,216.0,284.0,91.0,656.0
2024-04-28,724.871,136.0,196.0,74.0,393.0
2024-04-29,726.879,141.0,217.0,87.0,428.0
2024-04-30,618.7180000000001,159.0,189.0,80.0,357.0
2024-05-01,697.461,151.0,171.0,75.0,365.0
2024-05-02,651.7090000000001,244.0,282.0,95.0,615.0
2024-05-03,717.779,253.0,287.0,93.0,669.0
2024-05-04,770.816,165.0,248.0,75.0,422.0
2024-05-05,435.54,132.0,157.0,69.0,356.0
2024-05-06,478.57,219.0,315.0,80.0,710.0
2024-05-07,557.697,223.0,283.0,89.0,685.0
2024-05-08,877.623,224.0,280.0,124.0,693.0
2024-05-09,622.169,143.0,167.0,68.0,352.0
2024-05-10,504.518,135.0,190.0,76.0,376.0
2024-05-11,546.358,129.0,197.0,55.0,336.0
2024-05-12,645.404,141.0,204.0,71.0,381.0
2024-05-13,587.542,234.0,326.0,108.0,716.0
2024-05-14,559.63,239.0,352.0,87.0,753.0
2024-05-15,567.627,225.0,320.0,109.0,806.0
2024-05-16,618.3679999999999,236.0,291.0,63.0,715.0
2024-05-17,604.804,224.0,309.0,98.0,685.0
2024-05-18,721.875,167.0,219.0,77.0,470.0
2024-05-19,720.606,126.0,238.0,67.0,461.0
2024-05-20,684.806,255.0,303.0,87.0,721.0
2024-05-21,642.453,215.0,322.0,98.0,736.0
2024-05-22,651.5799999999999,226.0,328.0,102.0,754.0
2024-05-23,696.916,235.0,366.0,96.0,790.0
2024-05-24,687.446,200.0,341.0,96.0,712.0
2024-05-25,674.347,155.0,202.0,58.0,416.0
2024-05-26,609.811,130.0,198.0,66.0,397.0
2024-05-27,620.6759999999999,262.0,350.0,91.0,754.0
2024-05-28,562.946,230.0,342.0,96.0,717.0
2024-05-29,673.819,205.0,328.0,73.0,713.0
2024-05-30,630.107,251.0,295.0,84.0,705.0
2024-05-31,636.323,211.0,314.0,90.0,728.0
2024-06-01,618.898,132.0,199.0,45.0,384.0
2024-06-02,654.666,124.0,206.0,42.0,377.0
2024-06-03,545.121,237.0,337.0,82.0,707.0
2024-06-04,577.4590000000001,225.0,325.0,88.0,680.0
2024-06-05,561.062,202.0,274.0,67.0,676.0
2024-06-06,509.687,246.0,305.0,80.0,666.0
2024-06-07,576.182,234.0,313.0,83.0,710.0
2024-06-08,540.5889999999999,168.0,249.0,80.0,433.0
2024-06-09,615.227,131.0,187.0,50.0,347.0
2024-06-10,583.527,219.0,307.0,79.0,725.0
2024-06-11,600.211,247.0,268.0,83.0,664.0
2024-06-12,567.298,134.0,203.0,50.0,375.0
2024-06-13,505.896,204.0,295.0,79.0,606.0
2024-06-14,629.2130000000001,211.0,292.0,75.0,671.0
2024-06-15,449.664,128.0,212.0,51.0,369.0
2024-06-16,532.991,103.0,206.0,44.0,315.0
2024-06-17,454.626,203.0,339.0,80.0,663.0
2024-06-18,490.938,206.0,314.0,75.0,708.0
2024-06-19,468.073,210.0,339.0,75.0,720.0
2024-06-20,429.275,225.0,267.0,67.0,636.0
2024-06-21,530.678,224.0,315.0,93.0,725.0
2024-06-22,411.206,139.0,213.0,57.0,376.0
2024-06-23,406.549,135.0,213.0,56.0,368.0
2024-06-24,415.499,205.0,329.0,93.0,701.0
2024-06-25,431.524,226.0,308.0,81.0,675.0
2024-06-26,459.534,213.0,330.0,96.0,710.0
2024-06-27,374.275,196.0,304.0,102.0,736.0
2024-06-28,391.42,208.0,304.0,76.0,650.0
2024-06-29,361.298,123.0,210.0,57.0,351.0
2024-06-30,406.193,123.0,188.0,38.0,337.0
2024-07-01,525.185,204.0,293.0,81.0,677.0
2024-07-02,488.751,202.0,264.0,79.0,608.0
2024-07-03,354.31,176.0,266.0,89.0,577.0
2024-07-04,529.4879999999999,188.0,305.0,66.0,615.0
2024-07-05,458.297,193.0,244.0,54.0,604.0
2024-07-06,414.38700000000006,142.0,177.0,55.0,361.0
2024-07-07,424.407,110.0,185.0,51.0,281.0
2024-07-08,383.936,192.0,283.0,86.0,675.0
2024-07-09,367.618,220.0,276.0,63.0,641.0
2024-07-10,353.17499999999995,181.0,289.0,67.0,660.0
2024-07-11,521.0699999999999,206.0,299.0,63.0,650.0
2024-07-12,466.979,214.0,314.0,64.0,627.0
2024-07-13,401.549,143.0,204.0,60.0,361.0
2024-07-14,352.307,124.0,174.0,42.0,288.0
2024-07-15,376.439,206.0,282.0,59.0,580.0
2024-07-16,407.561,198.0,294.0,76.0,656.0
2024-07-17,408.787,214.0,339.0,81.0,609.0
2024-07-18,364.796,205.0,320.0,64.0,614.0
2024-07-19,342.15500000000003,219.0,284.0,91.0,617.0
2024-07-20,260.674,137.0,187.0,40.0,369.0
2024-07-21,316.126,134.0,189.0,53.0,310.0
2024-07-22,367.981,215.0,311.0,90.0,638.0
2024-07-23,359.02700000000004,213.0,290.0,84.0,651.0
2024-07-24,354.646,231.0,309.0,85.0,687.0
2024-07-25,283.324,228.0,306.0,72.0,670.0
2024-07-26,386.027,219.0,308.0,63.0,627.0
2024-07-27,342.43,148.0,200.0,57.0,344.0
2024-07-28,246.005,123.0,198.0,48.0,334.0
2024-07-29,302.907,217.0,304.0,93.0,636.0
2024-07-30,357.333,252.0,339.0,64.0,691.0
2024-07-31,291.63,212.0,319.0,75.0,674.0
2024-08-01,346.559,228.0,330.0,84.0,664.0
2024-08-02,393.296,234.0,341.0,79.0,692.0
2024-08-03,316.466,156.0,215.0,67.0,396.0
2024-08-04,334.74800000000005,113.0,222.0,47.0,301.0
2024-08-05,334.365,205.0,314.0,75.0,682.0
2024-08-06,371.468,235.0,319.0,68.0,716.0
2024-08-07,385.348,229.0,348.0,82.0,620.0
2024-08-08,406.714,228.0,342.0,75.0,687.0
2024-08-09,376.758,230.0,344.0,75.0,692.0
2024-08-10,220.149,155.0,203.0,72.0,411.0
2024-08-11,300.918,142.0,205.0,62.0,353.0
2024-08-12,257.685,213.0,347.0,67.0,678.0
2024-08-13,333.136,234.0,345.0,109.0,734.0
2024-08-14,303.779,229.0,324.0,78.0,690.0
2024-08-15,380.265,213.0,283.0,82.0,571.0
2024-08-16,381.279,257.0,321.0,79.0,755.0
2024-08-17,309.422,140.0,202.0,62.0,414.0
2024-08-18,268.608,137.0,177.0,64.0,362.0
2024-08-19,323.076,252.0,322.0,80.0,775.0
2024-08-20,385.7,256.0,340.0,75.0,717.0
2024-08-21,301.977,237.0,330.0,82.0,774.0
2024-08-22,358.898,238.0,352.0,108.0,778.0
2024-08-23,365.575,244.0,351.0,94.0,667.0
2024-08-24,238.65,160.0,216.0,73.0,407.0
2024-08-25,324.819,128.0,196.0,58.0,367.0
2024-08-26,370.671,239.0,324.0,78.0,739.0
2024-08-27,355.634,203.0,319.0,90.0,763.0
2024-08-28,344.52,243.0,324.0,97.0,757.0
2024-08-29,354.3,235.0,306.0,94.0,746.0
2024-08-30,355.362,243.0,281.0,93.0,742.0
2024-08-31,397.482,151.0,216.0,59.0,401.0
2024-09-01,400.803,121.0,190.0,67.0,388.0
2024-09-02,447.866,254.0,360.0,95.0,834.0
2024-09-03,462.549,233.0,320.0,68.0,796.0
2024-09-04,374.908,235.0,379.0,95.0,803.0
2024-09-05,418.973,256.0,337.0,94.0,818.0
2024-09-06,416.466,271.0,330.0,109.0,764.0
2024-09-07,289.88,149.0,197.0,78.0,450.0
2024-09-08,364.039,147.0,208.0,75.0,409.0
2024-09-09,343.228,253.0,351.0,90.0,744.0
2024-09-10,371.285,233.0,330.0,82.0,778.0
2024-09-11,435.297,262.0,325.0,95.0,810.0
2024-09-12,384.876,270.0,368.0,68.0,819.0
2024-09-13,492.931,231.0,339.0,108.0,786.0
2024-09-14,484.70900000000006,134.0,223.0,100.0,483.0
2024-09-15,454.906,144.0,207.0,79.0,425.0
2024-09-16,453.754,258.0,337.0,116.0,834.0
2024-09-17,364.527,241.0,341.0,89.0,814.0
2024-09-18,383.452,212.0,332.0,107.0,868.0
2024-09-19,434.368,244.0,335.0,113.0,827.0
2024-09-20,497.3,257.0,347.0,122.0,853.0
2024-09-21,454.594,180.0,246.0,104.0,460.0
2024-09-22,484.277,168.0,229.0,103.0,386.0
2024-09-23,426.678,267.0,364.0,123.0,829.0
2024-09-24,386.443,268.0,349.0,104.0,869.0
2024-09-25,525.008,229.0,354.0,116.0,874.0
2024-09-26,404.506,246.0,372.0,109.0,793.0
